motorola|XT1092|victara|5.0
LGE|LG-D855|d855|5.0.2
HTC|HTC One_M8|htc_m8|5.0.1
samsung|SM-G900P|kltespr|5.0
samsung|GT-I8190|golden|5.0.2
motorola|XT1097|victara|5.0.1
samsung|SM-G900V|kltevzw|5.0
LGE|LGMS631|g4stylusn|6.0
samsung|Nexus 10|manta|5.0.2
samsung|SPH-L710|d2spr|5.0.2
asus|K01Q|K01Q|5.0.1
samsung|SCH-I545|jfltevzw|5.0.2
samsung|GT-I9506|ks01lte|5.0.1
HTC|831C|htc_m8whl|5.0.1
asus|Nexus 7|deb|5.0.2
samsung|SM-G900F|kltexx|5.0.2
LGE|Nexus 4|mako|5.0.2
motorola|XT1032|falcon_umts|5.0.2
samsung|SM-N910C|trelte|5.0.1
LGE|LG-D850|g3|5.0.1
samsung|SCH-I605|t0ltevzw|5.0.2
motorola|XT1095|victara|5.0.2
LGE|LG-D851|d851|5.0.2
samsung|GT-I9195|serranoltexx|5.0.2
LGE|VS810PP|e2nav|5.1.1
HTC|HTC_M8x|htc_m8|5.0.1
samsung|SM-G900T|kltetmo|5.0
samsung|SM-N910P|trltespr|5.0.1
HTC|HTCONE|m7wls|5.0.2
motorola|Moto X|ghost_retail|5.0.2
LGE|Optimus 4X HD|p880|5.0.2
samsung|T889|t0lte|5.0.2
LGE|Nexus 5|hammerhead|5.1
LGE|AOSP on HammerHead|hammerhead|5.0.2
motorola|XT1063/64|titan_umts|5.0.2
samsung|GT-I9305|m3|5.0.2
samsung|kltedv|kltedv|5.0.2
motorola|XT1096|victara|5.0
LGE|LG-D852|g3|5.0.1
asus|Nexus 7|grouper|5.1
samsung|SM-N910F|trlte|5.0.1
motorola|Nexus 6|shamu|5.1
motorola|victara|victara|5.0.2
samsung|GT-N7000|GT-N7000|5.0.2
samsung|GT-I9192|serranods|5.0.2
Sony|C1905|C1905|5.0.2
samsung|GT-I9505|jflte|5.0.1
Sony|Xperia Tablet Z LTE|pollux|5.0.2
motorola|XT1025|condor_udstv|5.0.2
Sony|Xperia V|tsubasa|5.0.2
LGE|LG-VS985|vs985|5.0.2
asus|Nexus 7|tilapia|5.0.2
samsung|SCH-R970|jflteusc|5.0.2
samsung|SAMSUNG-SM-N910A|trlteatt|5.0.1
Sony|D5803|D5803|5.0.2
HTC|HTC One M9|htc_himaulatt|5.0.2
HTC|HTC_M9u|htc_himauhl|5.0.2
samsung|GT-I8190|golden|5.1
LGE|VS980 4G|g2|5.0.2
samsung|SM-G920P|zerofltespr|5.0.2
Sony|Xperia Z1|honami|5.1
samsung|SAMSUNG-SM-G920A|zeroflteatt|5.0.2
motorola|MotoE2(4G-LTE)|surnia_umts|5.0.2
motorola|XT1063|titan_umts|5.0.2
